Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Type,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,At Fault,Injury Severity,Safety Equipment,Latitude,Longitude,Location
MCP2801001Z,170511679,Montgomery County Police,Injury Crash,06/04/2017 02:51:00 AM,County,SILVER SPRING AVE,County,MAYOR LA,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,ALCOHOL PRESENT,N/A,41F52208-DF23-4744-84DF-6855779B62E9,PEDESTRIAN,N/A,OTHER,N/A,N/A,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,38.99164581,-77.02596992,"(38.99164581, -77.02596992)"
MCP137800PQ,190006725,Montgomery County Police,Injury Crash,02/11/2019 06:14:00 PM,County,MONTGOMERY VILLAGE AVE,Unknown,CROSSOVER,,N/A,PEDESTRIAN,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,DC070AD4-673D-4CB2-ABC2-DB1CBF227BD4,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,POSSIBLE INJURY,NONE,39.16801667,-77.20546667,"(39.16801667, -77.20546667)"
MCP2565003N,16065503,Montgomery County Police,Property Damage Crash,12/21/2016 05:27:00 PM,Maryland (State),ROCKVILLE PIKE,County,MARINELLI RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,N/A,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,UNKNOWN,NONE DETECTED,7F640698-8750-4A51-8A69-26A4EC493995,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,REFLECTIVE MATERIAL,No,NO APPARENT INJURY,REFLECTIVE CLOTHING,39.0470806,-77.11269915,"(39.0470806, -77.11269915)"
MCP2001001W,220046566,Montgomery County Police,Fatal Crash,10/23/2022 11:00:00 PM,Maryland (State),GEORGIA AVE,County,JANET RD,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DARK NO LIGHTS,NO CONTROLS,UNKNOWN,UNKNOWN,CE72A092-29BD-46E3-B181-5DFF18C8C285,BICYCLIST,Cross/Enter not at Intersection,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,UNKNOWN,Unknown,FATAL INJURY,NONE,39.06932364,-77.06226082,"(39.06932364, -77.06226082)"
DD5595000V,15001558,Rockville Police Departme,Property Damage Crash,01/10/2015 01:03:00 PM,,,,,THE REAR OF THE PARKING LOT AT 820 BALTIMORE RD,,OTHER,SINGLE VEHICLE,CLEAR,,DAYLIGHT,N/A,NONE DETECTED,N/A,04E6C31A-1A67-428A-BC16-A7FC8271E446,OTHER,N/A,N/A,OTHER,N/A,N/A,,NO APPARENT INJURY,N/A,39.08497103,-77.13515997,"(39.08497103, -77.13515997)"
EJ7852001X,180016641,Gaithersburg Police Depar,Injury Crash,04/05/2018 11:20:00 PM,Maryland (State),QUINCE ORCHARD RD,Municipality,FIRSTFIELD RD,,GAITHERSBURG,PEDESTRIAN,N/A,CLEAR,DRY,DARK LIGHTS ON,N/A,NONE DETECTED,NONE DETECTED,AB684A85-0DF5-4498-9605-FBFD361B6EF0,PEDESTRIAN,Unknown,UNKNOWN,N/A,UNKNOWN,DARK CLOTHING,Unknown,POSSIBLE INJURY,N/A,39.14602935,-77.21957445,"(39.14602935, -77.21957445)"
MCP31380025,200007705,Montgomery County Police,Injury Crash,02/15/2020 03:56:00 PM,,,,,DRIVEWAY OF 16227 BATCHELLORS FOREST RD,,PEDESTRIAN,SINGLE VEHICLE,CLEAR,,DAYLIGHT,N/A,,N/A,06356F8E-6254-4D6A-BF1D-9C80D75B7C03,PEDESTRIAN,Getting off/on Vehicle,NO IMPROPER ACTIONS,CURB,N/A,N/A,Unknown,SUSPECTED MINOR INJURY,NONE,39.12212911,-77.06900082,"(39.12212911, -77.06900082)"
MCP3197002J,210035920,Montgomery County Police,Injury Crash,09/12/2021 05:45:00 PM,,,,,13729 CONNECTICUT AVENUE,,PEDESTRIAN,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,,NONE DETECTED,F3735CFC-305A-4F0E-9DD4-84C8A3D1A2DA,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,CURB,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.07717733,-77.07945983,"(39.07717733, -77.07945983)"
MCP3073004V,200017725,Montgomery County Police,Property Damage Crash,04/30/2020 05:30:00 PM,,,,,"14000 GEORGIA AVE. ASPEN HILL, MD 20906",,PEDESTRIAN,OTHER,RAINING,,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,F7A6234F-7320-4ED4-ADC0-11927C1688D0,PEDESTRIAN,Unknown,UNKNOWN,OTHER,N/A,MIXED CLOTHING,Unknown,NO APPARENT INJURY,NONE,39.08379167,-77.08135167,"(39.08379167, -77.08135167)"
MCP2948000D,15030901,Montgomery County Police,Injury Crash,06/24/2015 10:00:00 PM,,,,,"exiting the shopping plaza onto Georgia Avenue. Off road, just before Georgia Avenue.",,PEDESTRIAN,OTHER,CLEAR,,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,9C47C16B-B17A-4E1E-B39D-D1F5AABF932E,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,MIXED CLOTHING,,POSSIBLE INJURY,N/A,39.15259507,-77.06695274,"(39.15259507, -77.06695274)"
MCP20550035,210025522,Montgomery County Police,Injury Crash,07/03/2021 08:30:00 AM,Municipality,WATKINS MILL RD,Maryland (State),FREDERICK RD,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,A97DD103-02BC-44AA-90DA-50C4D5E41BAC,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,N/A,No,SUSPECTED MINOR INJURY,N/A,39.159595,-77.21917333,"(39.159595, -77.21917333)"
MCP31820008,190013158,Montgomery County Police,Injury Crash,03/22/2019 05:50:00 AM,County,NORTHAMPTON DR,Maryland (State),NEW HAMPSHIRE AVE,,N/A,PEDESTRIAN,OTHER,CLOUDY,WET,DAWN,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,FB8B9E7D-029C-43E2-A7F7-49F4033F4E49,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED SERIOUS INJURY,NONE,39.00692169,-76.98075655,"(39.00692169, -76.98075655)"
MCP2116002P,15049994,MONTGOMERY,Injury Crash,10/02/2015 04:53:00 PM,Other Public Roadway,CORK TREE LA,Other Public Roadway,ELMCROFT BLVD,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,5677284C-8A68-4D4B-8980-A5147FE7B3DD,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,SHOULDER,N/A,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.11311833,-77.16742667,"(39.11311833, -77.16742667)"
MCP3090006F,220045233,Montgomery County Police,Injury Crash,10/15/2022 02:40:00 PM,,,,,"PARKING LOT OF 438 N FREDERICK AVE. GAITHERSBURG, MD",,PEDESTRIAN,OTHER,CLEAR,,DAYLIGHT,N/A,N/A,N/A,879FEED3-1E44-4ED4-AE72-CD0C6DB0277F,PEDESTRIAN,N/A,OTHER,OTHER,N/A,DARK CLOTHING,No,POSSIBLE INJURY,N/A,39.14754333,-77.206474,"(39.14754333, -77.206474)"
MCP2116003Q,16006064,Montgomery County Police,Injury Crash,02/05/2016 05:11:00 PM,Municipality,W GUDE DR,Municipality,PICCARD DR,,ROCKVILLE,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DUSK,TRAFFIC SIGNAL,N/A,NONE DETECTED,D92DD21D-ABA4-4FF7-B86B-278C0FD1A294,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.101867,-77.177141,"(39.101867, -77.177141)"
MCP3272001L,220037313,Montgomery County Police,Injury Crash,08/29/2022 10:30:00 AM,County,CRESTHAVEN DR,County,ROYAL RD,,N/A,PEDESTRIAN,HEAD ON,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,D0751F5A-7C8C-4B5D-A76D-991ED8084E19,PEDESTRIAN,Other Working,NO IMPROPER ACTIONS,OTHER,OTHER,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.0275,-76.98692,"(39.0275, -76.98692)"
MCP29190027,16064538,Montgomery County Police,Injury Crash,12/16/2016 02:22:00 PM,US (State),GEORGIA AVE,County,WAYNE AVE,,N/A,PEDESTRIAN,OTHER,CLOUDY,DRY,DAYLIGHT,OTHER,NONE DETECTED,NONE DETECTED,51E6F444-CF01-407D-B729-A5CE2B6CEF68,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,N/A,N/A,No,SUSPECTED SERIOUS INJURY,N/A,38.99502667,-77.02572667,"(38.99502667, -77.02572667)"
DD5603008C,200028613,Rockville Police Departme,Injury Crash,07/23/2020 02:15:00 PM,Maryland (State),ROCKVILLE PIKE,Municipality,HALPINE RD,,ROCKVILLE,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,22AC67AE-17F4-45CF-A6BB-D0304FF6D7AC,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.06163528,-77.124226,"(39.06163528, -77.124226)"
EJ7852002G,190033192,Gaithersburg Police Depar,Injury Crash,07/12/2019 07:19:00 PM,,,,,PARKING LOT IN FRONT OF 608 QUINCE ORCHARD ROAD.,,PEDESTRIAN,OTHER,N/A,,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,B8D7A4F0-AF23-489D-8490-C0EE1FC24C7B,PEDESTRIAN,Other,UNKNOWN,OTHER,NO PED. SIGNAL,MIXED CLOTHING,Unknown,SUSPECTED MINOR INJURY,N/A,39.141925,-77.22315833,"(39.141925, -77.22315833)"
MCP2720005P,210017224,Montgomery County Police,Injury Crash,05/07/2021 09:42:00 PM,Maryland (State),VEIRS MILL RD,County,RANDOLPH RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,ALCOHOL PRESENT,3B44BC10-B071-4C8C-BA24-4426DCC65F4E,PEDESTRIAN,Cross/Enter not at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.05667333,-77.08317333,"(39.05667333, -77.08317333)"
DD5605005Q,180045675,Rockville Police Departme,Property Damage Crash,09/13/2018 07:45:00 AM,Municipality,GREAT FALLS RD,Municipality,MONUMENT ST,,ROCKVILLE,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,OTHER,NONE DETECTED,NONE DETECTED,4CECB962-DB8B-4EFD-91AF-D5541D7BAA52,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,NO APPARENT INJURY,NONE,39.08011633,-77.16110017,"(39.08011633, -77.16110017)"
MCP29230091,230006564,Montgomery County Police,Injury Crash,02/09/2023 08:43:00 AM,Maryland (State),GEORGIA AVE,Maryland (State),LAYHILL RD,,N/A,PEDESTRIAN,OTHER,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,27609523-9242-481D-900E-DFA15FF270F6,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,AT INTERSECTION MARKED CROSSWALK,UNKNOWN,N/A,Yes,SUSPECTED MINOR INJURY,N/A,39.06029753,-77.05097211,"(39.06029753, -77.05097211)"
MCP2546000R,15007033,Montgomery County Police,Injury Crash,02/11/2015 10:07:00 PM,Maryland (State),GEORGIA AVE,Other Public Roadway,CHESTERWOOD DR,,N/A,BICYCLIST,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,D088127C-CE1B-405A-9606-5B860C623865,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,N/A,HEAD LIGHT AND REFLECTORS,,SUSPECTED SERIOUS INJURY,MC/BIKE HELMET,39.089775,-77.07976,"(39.089775, -77.07976)"
MCP26360005,15010082,Montgomery County Police,Injury Crash,03/03/2015 08:16:00 PM,County,RAMSEY AVE,County,FIDLER LA,,N/A,PEDESTRIAN,SINGLE VEHICLE,WINTRY MIX,ICE,DARK LIGHTS ON,N/A,NONE DETECTED,NONE DETECTED,D157D5A7-0C33-4029-9565-F360929E9F14,PEDESTRIAN,Other,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,N/A,38.99561499,-77.03070402,"(38.99561499, -77.03070402)"
DD5646002N,230019854,Rockville Police Departme,Injury Crash,04/25/2023 10:10:00 PM,Maryland (State),HUNGERFORD DR,Municipality,COLLEGE PKWY,,ROCKVILLE,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,N/A,N/A,397D4307-FB7E-46D7-9250-83EA304B54F5,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,INSIDE BUILDING,N/A,N/A,No,SUSPECTED MINOR INJURY,N/A,39.1035149,-77.1566645,"(39.1035149, -77.1566645)"
EJ78350002,16021016,Gaithersburg Police Depar,Injury Crash,04/28/2016 10:02:00 PM,Municipality,N SUMMIT AVE,Municipality,BROOKS AVE,,GAITHERSBURG,PEDESTRIAN,SAME DIRECTION LEFT TURN,OTHER,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,N/A,NONE DETECTED,2961D03A-E3F1-4E6D-9649-9836D3DF08C0,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.14427667,-77.19286167,"(39.14427667, -77.19286167)"
MCP26890023,16043493,Montgomery County Police,Injury Crash,08/26/2016 06:27:00 PM,County,NEEDWOOD RD,County,REDLAND RD,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,09FE3146-3615-4749-845C-A148691B52BD,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,39.12307833,-77.15676167,"(39.12307833, -77.15676167)"
MCP9311000R,16047305,Montgomery County Police,Injury Crash,09/15/2016 09:31:00 AM,,,,,"PARKING LOT OF 10400 FERNWOOD ROAD, BETHESDA, MD 20817 (MARRIOTT CORP BUILDING)",,PEDESTRIAN,SINGLE VEHICLE,CLOUDY,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,768D53E6-EAB1-4916-8113-10459AC1ED64,PEDESTRIAN,Other,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.02551333,-77.14379333,"(39.02551333, -77.14379333)"
MCP137800GW,170507434,Montgomery County Police,Injury Crash,05/12/2017 04:56:00 PM,County,SNOUFFERS SCHOOL RD,County,WELBECK WAY,,N/A,PEDESTRIAN,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,4EB65E5A-E3FF-49FC-BD9E-F6104FB70A19,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.18528667,-77.183645,"(39.18528667, -77.183645)"
MCP26370048,210033717,Montgomery County Police,Injury Crash,08/29/2021 12:01:00 PM,Maryland (State),RIVER RD,County,SWAINS LOCK RD,,N/A,BICYCLIST,HEAD ON LEFT TURN,CLOUDY,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,5F646B8E-927A-40AF-B4CC-8B9DC8336F7C,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,OTHER,LIGHT CLOTHING,No,POSSIBLE INJURY,MC/BIKE HELMET,39.03534833,-77.24038667,"(39.03534833, -77.24038667)"
EJ7852001K,17007003,Gaithersburg Police Depar,Injury Crash,02/08/2017 10:11:00 AM,Maryland (State),CLOPPER RD,Municipality,FIRSTFIELD RD,,GAITHERSBURG,PEDESTRIAN,OTHER,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,7CB64214-6003-4779-98E7-16022AF1B980,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY AT CROSSWALK,UNKNOWN,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.14376194,-77.22382441,"(39.14376194, -77.22382441)"
MCP3040002X,190000948,Montgomery County Police,Injury Crash,01/06/2019 04:00:00 PM,County,CASHELL RD,County,BOWIE MILL RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,N/A,EB72C093-9957-4789-A9C5-5841B0007F01,PEDESTRIAN,Cross/Enter at Intersection,N/A,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,UNKNOWN,No,POSSIBLE INJURY,N/A,39.15498167,-77.09481167,"(39.15498167, -77.09481167)"
DD5637000Y,200001711,Rockville Police Departme,Injury Crash,01/10/2020 04:59:00 PM,,,,,PARKING LOT OF 1900 ROCKVILLE PIKE,,PEDESTRIAN,SINGLE VEHICLE,CLEAR,,DAWN,NO CONTROLS,NONE DETECTED,NONE DETECTED,2B6802D0-1F24-4866-8DB9-F312C77BCAE2,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,DARK CLOTHING,No,POSSIBLE INJURY,NONE,39.05914867,-77.12140233,"(39.05914867, -77.12140233)"
MCP2971000S,15052325,MONTGOMERY,Injury Crash,10/15/2015 10:23:00 AM,County,FENTON ST,US (State),COLESVILLE RD,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,15C955AD-3201-4CC1-93F7-A5D34B7B0D8C,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,38.99747,-77.02671833,"(38.99747, -77.02671833)"
MCP29890002,15015633,Montgomery County Police,Injury Crash,04/05/2015 12:38:00 AM,,,,,"Parking lot of 8300 Carroll Ave Takoma Park, MD 20912",,PEDESTRIAN,OTHER,CLEAR,,DARK LIGHTS ON,N/A,UNKNOWN,UNKNOWN,C35DEBC4-6414-402A-87FF-FAD874CFEAE9,PEDESTRIAN,Other,UNKNOWN,OTHER,NO PED. SIGNAL,MIXED CLOTHING,,POSSIBLE INJURY,NONE,38.9927507,-76.99359298,"(38.9927507, -76.99359298)"
MCP26860042,200022565,Montgomery County Police,Injury Crash,06/08/2020 03:58:00 PM,County,BARGENE WAY,County,WATERS LANDING DR,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,16547AA0-B086-48F1-B4A2-50456C0FB30B,BICYCLIST,Walking/Cycling on Sidewalk,DART DASH,SIDEWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.19088504,-77.27088048,"(39.19088504, -77.27088048)"
MCP2039001J,16018390,Montgomery County Police,Property Damage Crash,04/15/2016 06:12:00 AM,Maryland (State),CONNECTICUT AVE,County,KAYSON ST,,N/A,OTHER,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK NO LIGHTS,STOP SIGN,N/A,N/A,3693B532-251E-4BEF-856F-C68D3FF4C778,OTHER,N/A,N/A,INSIDE BUILDING,N/A,N/A,No,NO APPARENT INJURY,N/A,39.06792499,-77.07523137,"(39.06792499, -77.07523137)"
MCP2866001J,15042115,MONTGOMERY,Injury Crash,08/22/2015 04:58:00 PM,County,TUCKERMAN LA,County,MONTROSE AVE,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,56E02D29-11B2-4D99-9FDF-405A71DE190C,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,POSSIBLE INJURY,MC/BIKE HELMET,39.02618333,-77.10142833,"(39.02618333, -77.10142833)"
EJ78850035,230032394,Gaithersburg Police Depar,Injury Crash,07/07/2023 02:55:00 PM,,,,,PARKING LOT OF 880 RUSSELL AVE,,PEDESTRIAN,N/A,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,5FB966A6-5440-4489-BF8F-2D88032C8063,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,N/A,N/A,No,POSSIBLE INJURY,N/A,39.1563985,-77.21339017,"(39.1563985, -77.21339017)"
MCP12130019,16002825,Montgomery County Police,Injury Crash,01/15/2016 03:15:00 PM,County,RANDOLPH RD,County,HEURICH RD,,N/A,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,NONE DETECTED,6D0FB5A6-09E6-4A13-9187-001F2770AEAB,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.062695,-77.04191833,"(39.062695, -77.04191833)"
DM8479001N,220049763,Takoma Park Police Depart,Property Damage Crash,11/10/2022 09:50:00 PM,Maryland (State),NEW HAMPSHIRE AVE,Maryland (State),UNIVERSITY BLVD,,N/A,OTHER,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,F9663677-0CC7-43BD-9018-77BB3911FD6E,OTHER,Standing,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,N/A,DARK CLOTHING,Unknown,NO APPARENT INJURY,NONE,38.98874017,-76.98835567,"(38.98874017, -76.98835567)"
MCP1202004T,210010512,Montgomery County Police,Injury Crash,03/20/2021 03:02:00 PM,County,MADAWASKA RD,County,SANGAMORE RD,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,4D32C7B2-F2E0-427C-811C-0C8DE24A62CA,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,38.9582,-77.122,"(38.9582, -77.122)"
MCP29710024,16062654,Montgomery County Police,Injury Crash,12/06/2016 05:47:00 PM,US (State),COLUMBIA PIKE,County,MUSGROVE RD,,N/A,PEDESTRIAN,OTHER,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,4B6B985C-CDFC-40CB-943B-49AC394085BE,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,POSSIBLE INJURY,N/A,39.06778598,-76.95953496,"(39.06778598, -76.95953496)"
MCP2671000V,15048904,MONTGOMERY,Injury Crash,09/26/2015 05:40:00 PM,,,,,8619-A 16TH STREET 7-11 PARKING LOT,,PEDESTRIAN,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,4C051813-6061-4ED2-88FB-D93EE371FAE7,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,38.99818942,-77.03803718,"(38.99818942, -77.03803718)"
MCP3109003G,190053471,Montgomery County Police,Property Damage Crash,11/06/2019 01:30:00 PM,,,,,DRIVEWAY AT 8120 GEORGIA AVE,,MACHINE OPERATOR/RIDER,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,A9E7C80C-C0F0-4EC5-9600-47E117B9A6B4,MACHINE OPERATOR/RIDER,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,DARK CLOTHING,No,NO APPARENT INJURY,NONE,38.99114467,-77.02677867,"(38.99114467, -77.02677867)"
MCP1221001F,15051905,MONTGOMERY,Injury Crash,10/13/2015 10:18:00 AM,,,,,parking lot of 15920 Shady Grove Rd,,PEDESTRIAN,SINGLE VEHICLE,CLOUDY,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,C7854AE2-CEA4-4A79-A219-ACD20DB45519,PEDESTRIAN,Getting off/on Vehicle,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.11806833,-77.1836,"(39.11806833, -77.1836)"
MCP2450002C,180062847,Montgomery County Police,Injury Crash,12/16/2018 08:55:00 PM,Maryland (State),UNIVERSITY BLVD E,County,LANGLEY DR,,N/A,PEDESTRIAN,OTHER,N/A,DRY,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,UNKNOWN,2072C8A0-98F5-4A8D-86F4-D650291DA5AE,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,MEDIAN,NO PED. SIGNAL,UNKNOWN,Yes,POSSIBLE INJURY,N/A,39.00148167,-76.99569333,"(39.00148167, -76.99569333)"
