report_number,local_case_number,agency_name,acrs_report_type,Crash_date,route_type,road_name,Cross-Street,Cross-Street Name,Related-Non-Motorist,Collision-Type,Weather,Surface_Condition,Light,Traffic_Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID-Driver,Driver At Fault,Injury Severity,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Second Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Continuing Dir,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Equipment Problems,Latitude,Longitude,Person ID_pedestrian,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,Pedestrian_At_Fault,Injury Severity_pedestrian,Related Non-Motorist,Driver Substance Abuse,Non-Motorist Substance Abuse
MCP30940029,220051881,Montgomery County Police,Injury Crash,11/23/2022 18:46,County,GEORGIA AVE,County,GEORGIA AVE,PEDESTRIAN,OTHER,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,17428E68-C343-4DCD-9F49-6A9B2CBB02F8,No,POSSIBLE INJURY,NOT DISTRACTED,MD,541726FC-9E6B-4271-B3BF-32BBF5B15BB6,SUPERFICIAL,NINE OCLOCK,NINE OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,East,0,No,No,2013,GMC,UT,NO MISUSE,39.17233433,-77.20610483,F0E7DF52-EE9B-4797-A293-E8BF59B56D2B,PEDESTRIAN,Other,IN ROADWAY IMPROPERLY,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,POSSIBLE INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP30940029,220051881,Montgomery County Police,Injury Crash,11/23/2022 18:46,County,GEORGIA AVE,County,GEORGIA AVE,PEDESTRIAN,OTHER,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,NONE DETECTED,3EB7E1F6-E1C6-4DBE-B17B-7FB085BA2C38,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,MD,3EFF69D8-B37B-433D-B617-CA679C2C3B40,SUPERFICIAL,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,BACKING,South,South,0,No,No,2015,NISSAN,FRONTIER,UNKNOWN,39.17233433,-77.20610483,F0E7DF52-EE9B-4797-A293-E8BF59B56D2B,PEDESTRIAN,Other,IN ROADWAY IMPROPERLY,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,POSSIBLE INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP2330003M,220023658,Montgomery County Police,Injury Crash,6/3/2022 16:38,County,GEORGIA AVE,County,GEORGIA AVE,PEDESTRIAN,OTHER,RAINING,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,022E0330-9508-4791-8D8B-D2360377AF06,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,MD,6EBFF4E6-0B29-4369-AF15-74F3FB033E96,SUPERFICIAL,ELEVEN OCLOCK,ELEVEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,Unknown,Unknown,15,No,No,2021,HONDA,CRV,NO MISUSE,39.034865,-77.05549293,21B61811-5B30-4F81-BC8A-B168546A56F4,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP29290034,180041210,Montgomery County Police,Injury Crash,8/19/2018 5:46,Maryland (State),OLNEY SANDY SPRING RD,County,SPARTAN RD,PEDESTRIAN,OTHER,CLEAR,DRY,DAWN,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,E05F3C49-3FFA-4F99-A70A-F7E02FCDC8C8,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,MD,939E6119-0B28-42EC-AC3A-7498FF1DB95D,SUPERFICIAL,TEN OCLOCK,TEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,East,30,No,No,2009,ACURA,TSX,NO MISUSE,39.15072667,-77.06254667,06D6A75B-FE09-499A-9CEE-4B20B96C439A,PEDESTRIAN,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP27770058,190026711,Montgomery County Police,Injury Crash,6/4/2019 17:30,County,HAMPDEN LA,County,ARLINGTON RD,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,86C3F633-A2C2-4A4B-8230-D3777D61800F,Yes,NO APPARENT INJURY,NOT DISTRACTED,DC,958ECE02-6E28-44A7-93BA-5640E382CDC5,NO DAMAGE,ONE OCLOCK,ONE OCLOCK,PASSENGER CAR,MAKING RIGHT TURN,North,West,25,No,No,2008,TOYOTA,PRIUS,NO MISUSE,38.98268667,-77.098305,B3AF41AE-A4B2-4FD3-B575-2833686A1322,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP2357002Q,170546200,Montgomery County Police,Injury Crash,12/2/2017 11:00,County,GEORGIA AVE,County,GEORGIA AVE,OTHER,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,7765C972-5D2F-4E4F-9FB6-CC02FE1D2BF2,Yes,NO APPARENT INJURY,NOT DISTRACTED,MD,0CE18E05-B71A-470E-A00B-01698412DFAA,SUPERFICIAL,ONE OCLOCK,ONE OCLOCK,PASSENGER CAR,ACCELERATING,East,East,35,No,No,2011,NISSIAN,MAURNO,NO MISUSE,38.99149167,-77.02681667,884AB4A0-9BA9-4BFA-9E81-17CB37493F5B,OTHER,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,OTHER,NONE DETECTED,NONE DETECTED
MCP3220002R,220024808,Montgomery County Police,Injury Crash,6/9/2022 16:22,County,GEORGIA AVE,County,GEORGIA AVE,PEDESTRIAN,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,CB60543F-839D-45AF-8066-5DAB48742627,No,NO APPARENT INJURY,NOT DISTRACTED,MD,818D2AD8-C403-46BE-80BE-22705A2CF527,SUPERFICIAL,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,PARKED,North,South,15,No,Yes,2016,HONDA,ACCORD,NO MISUSE,39.148023,-77.22563867,4A7B955C-3CEC-4411-9B1D-A42B4B6D8895,PEDESTRIAN,Standing,INATTENTIVE,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Yes,POSSIBLE INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP30800030,210009350,Montgomery County Police,Injury Crash,3/12/2021 17:22,Maryland (State),GREAT SENECA HWY,County,CLOPPERS MILL DR,BICYCLIST,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,93D5F698-30B1-4877-9522-99DFB6A17C57,Yes,NO APPARENT INJURY,UNKNOWN,MD,B32820BE-3CFF-49AD-BD55-9582A27F49B6,NO DAMAGE,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,North,North,25,No,No,2005,HYUNDAI,4S,NO MISUSE,39.1486525,-77.27636176,837760C3-1FB2-4BDA-96E3-5842F5FD8385,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,BICYCLIST,NONE DETECTED,NONE DETECTED
MCP3005005R,210023152,Montgomery County Police,Injury Crash,6/17/2021 11:18,Maryland (State),VEIRS MILL RD,County,ENNALLS AVE,OTHER,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,C14EA1F1-8B2F-4EF8-BB83-8786180FDB6D,No,NO APPARENT INJURY,NOT DISTRACTED,MD,16FABA8F-F8E5-469D-A672-105CA795CB7F,FUNCTIONAL,ONE OCLOCK,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,35,No,No,2014,TOYT,SW,NO MISUSE,39.03906333,-77.05424833,CCDC043E-939B-48BF-BE69-4C3E39BB66E9,OTHER,Cross/Enter at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,POSSIBLE INJURY,OTHER,NONE DETECTED,NONE DETECTED
MCP2875002D,16063499,Montgomery County Police,Injury Crash,12/10/2016 23:17,County,SCENERY DR,Unknown,GATESHEAD CIR,PEDESTRIAN,OTHER,CLEAR,DRY,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,NONE DETECTED,CBA6EBDF-5716-4533-A5A7-D4C5E209CC09,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,MD,BB093ED4-BCD9-4EAE-8C0D-9FA4ED86CA26,NO DAMAGE,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,North,0,No,No,2007,TOYOTA,COROLLA,NO MISUSE,39.182715,-77.23224167,15C306EC-9800-4A41-9057-C738B16612DC,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,POSSIBLE INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP32800029,220028685,Montgomery County Police,Injury Crash,7/4/2022 14:12,Maryland (State),SANDY SPRING RD,County,DINO DR,BICYCLIST,ANGLE MEETS RIGHT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,"N/A, NONE DETECTED",E384D113-1D0F-4FD0-BA52-C4789B15E8F6,No,NO APPARENT INJURY,NOT DISTRACTED,MD,BC1E5991-AF88-4745-81E9-6B5366C1521B,FUNCTIONAL,ONE OCLOCK,TWO OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,East,East,40,No,No,2022,CHEVY,TRAILBLAZER,NO MISUSE,39.10874,-76.92343667,FA1E617F-5474-42B6-8EB7-961D6F8C58EF,BICYCLIST,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,OUTSIDE RIGHT OF WAY,OTHER,MIXED CLOTHING,Yes,SUSPECTED SERIOUS INJURY,BICYCLIST,NONE DETECTED,NONE DETECTED
MCP32800029,220028685,Montgomery County Police,Injury Crash,7/4/2022 14:12,Maryland (State),SANDY SPRING RD,County,DINO DR,BICYCLIST,ANGLE MEETS RIGHT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,"N/A, NONE DETECTED",E384D113-1D0F-4FD0-BA52-C4789B15E8F6,No,NO APPARENT INJURY,NOT DISTRACTED,MD,BC1E5991-AF88-4745-81E9-6B5366C1521B,FUNCTIONAL,ONE OCLOCK,TWO OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,East,East,40,No,No,2022,CHEVY,TRAILBLAZER,NO MISUSE,39.10874,-76.92343667,136559C1-479F-4C07-9B4F-B3F13512E6F1,OTHER,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,NO APPARENT INJURY,BICYCLIST,NONE DETECTED,NONE DETECTED
MCP28570037,210001882,Montgomery County Police,Injury Crash,1/15/2021 16:26,County,GEORGIA AVE,County,GEORGIA AVE,PEDESTRIAN,SINGLE VEHICLE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,D9320703-6A4B-4CFB-9CC9-D320E9C41C41,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,MD,FD1F7B76-DF53-46EB-A33D-F399ED6426BF,NO DAMAGE,EIGHT OCLOCK,EIGHT OCLOCK,"MEDIUM/HEAVY TRUCKS 3 AXLES (OVER 10,000LBS (4,536KG))",ACCELERATING,West,West,10,No,No,2021,FREIGHTLINER,M2,NO MISUSE,39.16289373,-77.16414513,9828D9BA-5524-448C-9987-0A272669F3EB,PEDESTRIAN,Other Working,UNKNOWN,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP242500CG,180036614,Montgomery County Police,Injury Crash,7/24/2018 9:56,Maryland (State),PINEY BRANCH RD,Unknown,CROSSOVER,PEDESTRIAN,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,E1D537BF-F58A-49B2-B90A-18D871F12A03,No,NO APPARENT INJURY,NOT DISTRACTED,MD,CCCC7882-ED8A-4D8E-815A-672881054771,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,ENTERING TRAFFIC LANE,North,North,35,No,No,2017,CHEVY,4H,NO MISUSE,38.999105,-76.99759667,C8507D34-EDAB-4401-98B8-989A71D24346,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,UNKNOWN,DARK CLOTHING,Yes,SUSPECTED MINOR INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP1378009T,16027391,Montgomery County Police,Injury Crash,6/1/2016 17:10,County,BLACKWELL RD,County,GREAT SENECA HWY,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,236ADA24-81CF-4883-91B4-488810E80F15,Yes,NO APPARENT INJURY,NOT DISTRACTED,MD,CD2854F5-0427-4AE2-A634-E9D6B71DBD72,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,ACCELERATING,West,West,25,No,No,2016,MAZDA,CX-5,NO MISUSE,39.10165667,-77.20517,3D94E185-8F4F-4F4D-8B60-6E3BC1A9A58C,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,POSSIBLE INJURY,BICYCLIST,NONE DETECTED,NONE DETECTED
MCP0113000W,16028269,Montgomery County Police,Property Damage Crash,6/6/2016 7:03,Maryland (State),WISCONSIN AVE,County,CHELTENHAM DR,PEDESTRIAN,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,C43FA676-E358-46FA-855F-E6B2D32C040A,Yes,NO APPARENT INJURY,DISTRACTED BY OUTSIDE PERSON OBJECT OR EVENT,VA,FDD15F9D-64F3-4AAD-B48D-F6FB0B0131AA,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,"CARGO VAN/LIGHT TRUCK 2 AXLES (OVER 10,000LBS (4,536 KG))",MOVING CONSTANT SPEED,North,North,35,No,No,1993,FORD,VAN,NO MISUSE,38.988125,-77.09497,54156241-9F04-4F2B-AFA2-00A5268C0822,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,NO APPARENT INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP0113000W,16028269,Montgomery County Police,Property Damage Crash,6/6/2016 7:03,Maryland (State),WISCONSIN AVE,County,CHELTENHAM DR,PEDESTRIAN,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,511EB71A-1042-4B98-A0DA-F3A4D90871FF,No,NO APPARENT INJURY,NOT DISTRACTED,MD,8B38C24E-98CE-4399-BAAB-BA87409DFF41,DISABLING,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,North,35,No,No,2011,AUDI,4S,NO MISUSE,38.988125,-77.09497,54156241-9F04-4F2B-AFA2-00A5268C0822,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,NO APPARENT INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP2897000X,16036981,Montgomery County Police,Injury Crash,7/21/2016 17:43,Other Public Roadway,HENDERSON CORNER RD,Maryland (State),FREDERICK RD,BICYCLIST,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,BAE5400E-FFED-462D-A0CC-3D6355C0FA7A,No,NO APPARENT INJURY,NOT DISTRACTED,MD,5AD35280-A312-422E-826D-2182A4E244EA,NO DAMAGE,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,North,25,No,No,2014,FORD,FOCUS,NO MISUSE,39.2015799,-77.25025222,B518730B-B05D-4208-8B7D-FE08A53CE64A,BICYCLIST,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,POSSIBLE INJURY,BICYCLIST,NONE DETECTED,NONE DETECTED
MCP2116003Q,16006064,Montgomery County Police,Injury Crash,2/5/2016 17:11,Municipality,W GUDE DR,Municipality,PICCARD DR,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DUSK,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,019EC4F3-769E-4107-A065-C6AAB5C42861,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,MD,1D8824F6-10BC-4A89-A2F6-AC06EBC9BA4F,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,35,No,No,2008,TOYT,VN,NO MISUSE,39.101867,-77.177141,D92DD21D-ABA4-4FF7-B86B-278C0FD1A294,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP1366003K,15049897,MONTGOMERY,Injury Crash,10/2/2015 6:48,County,GEORGIA AVE,County,GEORGIA AVE,PEDESTRIAN,SINGLE VEHICLE,RAINING,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,95342E5F-4C93-45AA-95A9-3A72D46C641F,Yes,NO APPARENT INJURY,INATTENTIVE OR LOST IN THOUGHT,MD,63F6199B-0D87-4135-8751-D876150ABD7F,NO DAMAGE,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,Unknown,Unknown,0,No,No,2004,HYUNDAI,4S,NO MISUSE,39.126565,-77.16912667,D67C1E32-38CD-46B8-8C95-A55668CFB12E,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP25980021,180053745,Montgomery County Police,Injury Crash,10/26/2018 21:08,Maryland (State),PINEY BRANCH RD,County,SILVER SPRING AVE,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,1B9105AB-0E2B-40A9-8DA7-D00A987C66BD,No,NO APPARENT INJURY,NOT DISTRACTED,MD,71D042AC-4CB2-4625-BF38-13E7481C640A,NO DAMAGE,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,No,No,0,CHRYSLER,UNKNOWN,NO MISUSE,38.99349176,-77.00914788,DB2F230C-3323-45C8-A118-8A0E5E4F793A,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,OUTSIDE RIGHT OF WAY,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP2818003M,180024177,Montgomery County Police,Injury Crash,5/17/2018 8:52,US (State),GEORGIA AVE,County,BONIFANT ST,PEDESTRIAN,OTHER,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,38C49422-0617-41A4-8F8F-848C8CAA7BD3,No,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,DC,5BFB3B54-169A-42E5-8284-92BBDE040694,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,STARTING FROM LANE,North,North,35,No,No,2009,HONDA,CRV,NO MISUSE,38.991615,-77.02630167,F3741C78-8828-420E-A090-6D396490B794,PEDESTRIAN,Other,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes,POSSIBLE INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP3232001X,210018058,Montgomery County Police,Injury Crash,5/13/2021 18:56,County,BRIGGS CHANEY RD,County,GOOD HOPE RD,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,F23C7C52-1DED-4D4A-8911-6C7BE88E5DAE,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,MD,8850FBF2-C0A2-4A87-B4F8-151E4EFCB215,SUPERFICIAL,FOUR OCLOCK,FOUR OCLOCK,(SPORT) UTILITY VEHICLE,MAKING LEFT TURN,South,South,35,No,No,2019,SUBARU,OUTBACK,NO MISUSE,39.10190367,-76.98206517,01E48790-3C97-4E48-B26B-9D36BDF92B79,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,BICYCLIST,NONE DETECTED,NONE DETECTED
MCP3232001X,210018058,Montgomery County Police,Injury Crash,5/13/2021 18:56,County,BRIGGS CHANEY RD,County,GOOD HOPE RD,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,F23C7C52-1DED-4D4A-8911-6C7BE88E5DAE,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,MD,8850FBF2-C0A2-4A87-B4F8-151E4EFCB215,SUPERFICIAL,FOUR OCLOCK,FOUR OCLOCK,(SPORT) UTILITY VEHICLE,MAKING LEFT TURN,South,South,35,No,No,2019,SUBARU,OUTBACK,NO MISUSE,39.10190367,-76.98206517,6AB3F25B-FACC-4515-AD4D-6897D55A204F,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,BICYCLIST,NONE DETECTED,NONE DETECTED
MCP2094008J,170509552,Montgomery County Police,Injury Crash,5/24/2017 7:44,County,WESTBARD AVE,Other Public Roadway,WESTBARD CIR,PEDESTRIAN,OTHER,CLOUDY,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,8EB87057-A3C3-408D-99A8-E8E4C83E1584,Yes,NO APPARENT INJURY,NOT DISTRACTED,MD,330C5C89-3846-4F38-8F4F-8FD9E010F99C,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,25,No,No,2016,BMW,428I,NO MISUSE,38.96474476,-77.10705176,48D59A83-9A90-40BF-894A-2B602162B679,PEDESTRIAN,Approach/Leaving Schoolbus,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED SERIOUS INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP28300019,15006537,Montgomery County Police,Injury Crash,2/9/2015 11:19,County,GLENALLAN AVE,County,RANDOLPH RD,PEDESTRIAN,OTHER,CLOUDY,DRY,OTHER,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,C26EAFFF-533F-4E96-A958-736B98010792,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,MD,7556B032-034B-4978-972A-334224A897FF,NO DAMAGE,ONE OCLOCK,ONE OCLOCK,PASSENGER CAR,ACCELERATING,West,South,35,No,No,2012,TOYOTA,4S,NO MISUSE,39.06076833,-77.04522833,3BAFF79E-39D1-41F0-8642-AA55404320E8,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP2871008C,220053926,Montgomery County Police,Injury Crash,12/6/2022 18:14,County,GEORGIA AVE,County,GEORGIA AVE,PEDESTRIAN,OTHER,RAINING,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,F01FAA7D-0C80-43FD-93FB-09E6B99BBF00,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,MD,0A593680-D5DD-4BBC-8749-51B0E76242ED,SUPERFICIAL,ONE OCLOCK,ONE OCLOCK,(SPORT) UTILITY VEHICLE,MAKING LEFT TURN,East,East,10,No,No,2016,FORD,EXPLORER,NO MISUSE,39.02388833,-77.124185,27958942-F1C4-4BA3-9CAD-62590972CFE5,PEDESTRIAN,Walking/Riding against Traffic,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,PEDESTRIAN,NONE DETECTED,NONE DETECTED
MCP3254001Y,220020677,Montgomery County Police,Injury Crash,5/15/2022 12:32,County,MATENY RD,Maryland (State),GREAT SENECA HWY,BICYCLIST,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,9D239950-7B7A-48F2-8C59-6F6B385336D6,Yes,NO APPARENT INJURY,BY OTHER OCCUPANTS,MD,882C6653-4CE0-4E22-85A7-D79340BDB978,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MAKING RIGHT TURN,North,West,35,No,No,2014,BMW,X5,NO MISUSE,39.14622307,-77.27464274,711D2483-9E85-4E98-BA2E-3322C1F79B19,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,BICYCLIST,NONE DETECTED,NONE DETECTED
